Date,BalanceSheet_global,BalanceSheet_usa,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,EURUSD=X,DX-Y.NYB,SPY,QQQ,IWDA.AS,GLD,TLT,^TNX,^VIX,Miners_Revenue_USD,Nr_Tx_Block,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews,BTC_Supply,L1.BalanceSheet_global,L2.BalanceSheet_global,L1.BalanceSheet_usa,L2.BalanceSheet_usa,L1.BTC_USD,L2.BTC_USD,L1.Mining_Difficulty,L2.Mining_Difficulty,L1.USD_OnChain_Volume,L2.USD_OnChain_Volume,L1.GDP_usa,L2.GDP_usa,L1.HashRate,L2.HashRate,L1.M2_Liquidity,L2.M2_Liquidity,L1.EURUSD=X,L2.EURUSD=X,L1.DX-Y.NYB,L2.DX-Y.NYB,L1.SPY,L2.SPY,L1.QQQ,L2.QQQ,L1.IWDA.AS,L2.IWDA.AS,L1.GLD,L2.GLD,L1.TLT,L2.TLT,L1.^TNX,L2.^TNX,L1.^VIX,L2.^VIX,L1.Miners_Revenue_USD,L2.Miners_Revenue_USD,L1.Nr_Tx_Block,L2.Nr_Tx_Block,L1.Nr_Transactions,L2.Nr_Transactions,L1.Nr_Addresses,L2.Nr_Addresses,L1.BTC_PageViews,L2.BTC_PageViews,L1.Crypto_PageViews,L2.Crypto_PageViews,L1.BTC_Supply,L2.BTC_Supply
2024-04-19,4.366186234918388,6.869554738144206,4.805149066318381,13.93645622946179,9.976805287723623,4.451313118978276,8.81019976562151,4.324514977288853,0.027112436306345567,2.0259200047448886,2.693346720336936,2.616991921471771,1.944975900890132,2.344451221287619,1.9442965921904334,0.6641716838230097,1.2720737662488883,7.834413801314268,3.41562551659723,5.594602463890399,5.861618633121034,3.9068197154665456,1.4313637641589874,7.29419043326239,4.367201631476898,4.366692744936341,6.871466450296752,6.871547133951362,4.827099694166971,4.831617247221515,13.93645622946179,13.91974209347904,9.971145128010397,9.899155587802035,4.451313118978276,4.451313118978276,8.76644125660051,8.786449927642504,4.324436797945258,4.324747374853966,0.03047225725582424,0.03491124754477846,2.0254697228106644,2.0182843211337365,2.7068945740586074,2.713291308630078,2.6410519986660552,2.643226613389222,1.958324924349823,1.9552065228483542,2.3362395275327703,2.3327211630570353,1.9498148824121486,1.9550738929681601,0.6531160001620855,0.6412757356622429,1.2382970544763021,1.2049335409571609,7.834413801314268,7.804840382681861,3.5182128872866256,3.372111760445924,5.651751795656843,5.542373475840881,5.834891622813426,5.808686882538906,3.8991088581933995,3.8312937443770094,1.568201724066995,1.505149978319906,7.294044265081289,7.2938997032553425
2024-04-26,4.3663541968957,6.869374543914955,4.804484480936137,13.93645622946179,9.8781863523324,4.451313118978276,8.762016618278244,4.319078980152553,0.030584118502091782,2.0250599786079726,2.7046871138009325,2.6337875347198363,1.9532038046999687,2.335698541708828,1.9398407242182887,0.665487198319729,1.1769589728710639,7.5118705449092635,3.5251891550238432,5.645763086229693,5.822381903672501,3.8898617212581885,1.568201724066995,7.294260879786865,4.366186234918388,4.367201631476898,6.869554738144206,6.871466450296752,4.805149066318381,4.827099694166971,13.93645622946179,13.93645622946179,9.976805287723623,9.971145128010397,4.451313118978276,4.451313118978276,8.81019976562151,8.76644125660051,4.324514977288853,4.324436797945258,0.027112436306345567,0.03047225725582424,2.0259200047448886,2.0254697228106644,2.693346720336936,2.7068945740586074,2.616991921471771,2.6410519986660552,1.944975900890132,1.958324924349823,2.344451221287619,2.3362395275327703,1.9442965921904334,1.9498148824121486,0.6641716838230097,0.6531160001620855,1.2720737662488883,1.2382970544763021,7.834413801314268,7.834413801314268,3.41562551659723,3.5182128872866256,5.594602463890399,5.651751795656843,5.861618633121034,5.834891622813426,3.9068197154665456,3.8991088581933995,1.4313637641589874,1.568201724066995,7.29419043326239,7.294044265081289
2024-05-03,4.366311356291302,6.867023774120935,4.7987711126580095,13.93645622946179,9.736208755261448,4.451313118978276,8.752032397371641,4.317384219137274,0.030723928673030206,2.0213133604371407,2.7072684866078056,2.6382784885618054,1.9525018449059472,2.3282980518223515,1.9491638544898218,0.6532125137753437,1.1300119423033261,7.424018215249693,3.5355610122737735,5.646150722573022,5.72998965152671,3.722880610686939,1.2304489213782739,7.294326904412826,4.3663541968957,4.366186234918388,6.869374543914955,6.869554738144206,4.804484480936137,4.805149066318381,13.93645622946179,13.93645622946179,9.8781863523324,9.976805287723623,4.451313118978276,4.451313118978276,8.762016618278244,8.81019976562151,4.319078980152553,4.324514977288853,0.030584118502091782,0.027112436306345567,2.0250599786079726,2.0259200047448886,2.7046871138009325,2.693346720336936,2.6337875347198363,2.616991921471771,1.9532038046999687,1.944975900890132,2.335698541708828,2.344451221287619,1.9398407242182887,1.9442965921904334,0.665487198319729,0.6641716838230097,1.1769589728710639,1.2720737662488883,7.5118705449092635,7.834413801314268,3.5251891550238432,3.41562551659723,5.645763086229693,5.594602463890399,5.822381903672501,5.861618633121034,3.8898617212581885,3.9068197154665456,1.568201724066995,1.4313637641589874,7.294260879786865,7.29419043326239
2024-05-10,4.366711100529688,6.866488663242626,4.783838001569559,13.919853662583774,9.619169492135942,4.451313118978276,8.777667783587255,4.319235182836141,0.032826546933901024,2.0224696026995015,2.7153055411971114,2.6447914851103898,1.9611599627996705,2.3398686539164397,1.95051529103123,0.6535983998669121,1.0986437324174632,7.485809530581523,3.6434409781607706,5.81846013824373,5.676332309231028,3.65667304588485,1.4313637641589874,7.294391747641331,4.366311356291302,4.3663541968957,6.867023774120935,6.869374543914955,4.7987711126580095,4.804484480936137,13.93645622946179,13.93645622946179,9.736208755261448,9.8781863523324,4.451313118978276,4.451313118978276,8.752032397371641,8.762016618278244,4.317384219137274,4.319078980152553,0.030723928673030206,0.030584118502091782,2.0213133604371407,2.0250599786079726,2.7072684866078056,2.7046871138009325,2.6382784885618054,2.6337875347198363,1.9525018449059472,1.9532038046999687,2.3282980518223515,2.335698541708828,1.9491638544898218,1.9398407242182887,0.6532125137753437,0.665487198319729,1.1300119423033261,1.1769589728710639,7.424018215249693,7.5118705449092635,3.5355610122737735,3.5251891550238432,5.646150722573022,5.645763086229693,5.72998965152671,5.822381903672501,3.722880610686939,3.8898617212581885,1.2304489213782739,1.568201724066995,7.294326904412826,7.294260879786865
2024-05-17,4.368242597626486,6.863576937294533,4.8264075262837896,13.919853662583774,9.894055016884172,4.451313118978276,8.80663147952257,4.318299209725922,0.03614138015143133,2.01890843162737,2.7224261324459573,2.654218034586429,1.9637878273455553,2.344451221287619,1.9565927786303796,0.6454222768454808,1.0788191748084301,7.548074877155206,3.568195665862831,5.758527364033123,5.711131227703761,3.7155855518931964,1.4471580313422192,7.294461472595088,4.366711100529688,4.366311356291302,6.866488663242626,6.867023774120935,4.783838001569559,4.7987711126580095,13.919853662583774,13.93645622946179,9.619169492135942,9.736208755261448,4.451313118978276,4.451313118978276,8.777667783587255,8.752032397371641,4.319235182836141,4.317384219137274,0.032826546933901024,0.030723928673030206,2.0224696026995015,2.0213133604371407,2.7153055411971114,2.7072684866078056,2.6447914851103898,2.6382784885618054,1.9611599627996705,1.9525018449059472,2.3398686539164397,2.3282980518223515,1.95051529103123,1.9491638544898218,0.6535983998669121,0.6532125137753437,1.0986437324174632,1.1300119423033261,7.485809530581523,7.424018215249693,3.6434409781607706,3.5355610122737735,5.81846013824373,5.646150722573022,5.676332309231028,5.72998965152671,3.65667304588485,3.722880610686939,1.4313637641589874,1.2304489213782739,7.294391747641331,7.294326904412826
2024-05-24,4.368018352111873,6.863297039653573,4.834226022365116,13.926247044645343,9.911840570265861,4.451313118978276,8.81019976562151,4.318949810169072,0.033933427137446806,2.020029638605196,2.7224179453489272,2.6601283511031957,1.9639294162659953,2.3342928678655364,1.956545247289697,0.6500159532135901,1.0766404547798267,7.556543577040921,3.6434409781607706,5.81846013824373,5.6842248824840995,3.7134905430939424,1.414973347970818,7.294534354897923,4.368242597626486,4.366711100529688,6.863576937294533,6.866488663242626,4.8264075262837896,4.783838001569559,13.919853662583774,13.919853662583774,9.894055016884172,9.619169492135942,4.451313118978276,4.451313118978276,8.80663147952257,8.777667783587255,4.318299209725922,4.319235182836141,0.03614138015143133,0.032826546933901024,2.01890843162737,2.0224696026995015,2.7224261324459573,2.7153055411971114,2.654218034586429,2.6447914851103898,1.9637878273455553,1.9611599627996705,2.344451221287619,2.3398686539164397,1.9565927786303796,1.95051529103123,0.6454222768454808,0.6535983998669121,1.0788191748084301,1.0986437324174632,7.548074877155206,7.485809530581523,3.568195665862831,3.6434409781607706,5.758527364033123,5.81846013824373,5.711131227703761,5.676332309231028,3.7155855518931964,3.65667304588485,1.4471580313422192,1.4313637641589874,7.294461472595088,7.294391747641331
2024-05-31,4.367917493846451,6.862388956467496,4.829189554449004,13.926247044645343,9.963684184310788,4.451313118978276,8.792954878808803,4.317900443988081,0.034845363482161794,2.019822216570401,2.7207166073377715,2.653207447919322,1.9574636069594786,2.33304403597937,1.9521027150026848,0.6545615488695165,1.1112625162236194,7.5582434383842845,3.6434409781607706,5.81846013824373,5.723201095943429,3.6909930320998696,1.462397997898956,7.294602748429463,4.368018352111873,4.368242597626486,6.863297039653573,6.863576937294533,4.834226022365116,4.8264075262837896,13.926247044645343,13.919853662583774,9.911840570265861,9.894055016884172,4.451313118978276,4.451313118978276,8.81019976562151,8.80663147952257,4.318949810169072,4.318299209725922,0.033933427137446806,0.03614138015143133,2.020029638605196,2.01890843162737,2.7224179453489272,2.7224261324459573,2.6601283511031957,2.654218034586429,1.9639294162659953,1.9637878273455553,2.3342928678655364,2.344451221287619,1.956545247289697,1.9565927786303796,0.6500159532135901,0.6454222768454808,1.0766404547798267,1.0788191748084301,7.556543577040921,7.548074877155206,3.6434409781607706,3.568195665862831,5.81846013824373,5.758527364033123,5.6842248824840995,5.711131227703761,3.7134905430939424,3.7155855518931964,1.414973347970818,1.4471580313422192,7.294534354897923,7.294461472595088
2024-06-07,4.36891314704957,6.860678539610915,4.834226022365116,13.922811866532951,9.956461701946786,4.451313118978276,8.771546329684513,4.321165369859373,0.037204595186353766,2.02073408288437,2.7261505800634125,2.664853723592137,1.9687630368036393,2.325515675890195,1.9585966223556184,0.6464037093942682,1.0870712153966449,7.728287885716659,3.269285970489861,5.421574314872918,5.6705250851662745,3.6445370577784075,1.4471580313422192,7.294669547422984,4.367917493846451,4.368018352111873,6.862388956467496,6.863297039653573,4.829189554449004,4.834226022365116,13.926247044645343,13.926247044645343,9.963684184310788,9.911840570265861,4.451313118978276,4.451313118978276,8.792954878808803,8.81019976562151,4.317900443988081,4.318949810169072,0.034845363482161794,0.033933427137446806,2.019822216570401,2.020029638605196,2.7207166073377715,2.7224179453489272,2.653207447919322,2.6601283511031957,1.9574636069594786,1.9639294162659953,2.33304403597937,2.3342928678655364,1.9521027150026848,1.956545247289697,0.6545615488695165,0.6500159532135901,1.1112625162236194,1.0766404547798267,7.5582434383842845,7.556543577040921,3.6434409781607706,3.6434409781607706,5.81846013824373,5.81846013824373,5.723201095943429,5.6842248824840995,3.6909930320998696,3.7134905430939424,1.462397997898956,1.414973347970818,7.294602748429463,7.294534354897923
2024-06-14,4.36882996198948,6.86087524086166,4.8195842704138325,13.922811866532951,9.889417848735055,4.451313118978276,8.726467954949326,4.321786853094069,0.0309570384926436,2.023458250200393,2.7332250453646205,2.6798180098311515,1.9732664304704914,2.333910534871921,1.973387877951902,0.6245914406447698,1.102433700446891,7.485603253889524,3.6434409781607706,5.781287807829281,5.677449081707806,3.6568644915489172,1.5185139398778875,7.294738814702691,4.36891314704957,4.367917493846451,6.860678539610915,6.862388956467496,4.834226022365116,4.829189554449004,13.922811866532951,13.926247044645343,9.956461701946786,9.963684184310788,4.451313118978276,4.451313118978276,8.771546329684513,8.792954878808803,4.321165369859373,4.317900443988081,0.037204595186353766,0.034845363482161794,2.02073408288437,2.019822216570401,2.7261505800634125,2.7207166073377715,2.664853723592137,2.653207447919322,1.9687630368036393,1.9574636069594786,2.325515675890195,2.33304403597937,1.9585966223556184,1.9521027150026848,0.6464037093942682,0.6545615488695165,1.0870712153966449,1.1112625162236194,7.728287885716659,7.5582434383842845,3.269285970489861,3.6434409781607706,5.421574314872918,5.81846013824373,5.6705250851662745,5.723201095943429,3.6445370577784075,3.6909930320998696,1.4471580313422192,1.462397997898956,7.294669547422984,7.294602748429463
2024-06-21,4.370128351189099,6.8604902525130225,4.806989043379031,13.922597082405598,9.76639550273494,4.451313118978276,8.765171236852341,4.322161384942261,0.029643838787991875,2.024485680226214,2.736005867831038,2.6798180098311515,1.9765792186401099,2.331993835573942,1.9701185035074413,0.6291036470637665,1.1205739249304636,7.476037853479784,3.6268116606180194,5.772939696296257,5.711518727969431,3.6624745037503095,1.5563025007672873,7.294807589072389,4.36882996198948,4.36891314704957,6.86087524086166,6.860678539610915,4.8195842704138325,4.834226022365116,13.922811866532951,13.922811866532951,9.889417848735055,9.956461701946786,4.451313118978276,4.451313118978276,8.726467954949326,8.771546329684513,4.321786853094069,4.321165369859373,0.0309570384926436,0.037204595186353766,2.023458250200393,2.02073408288437,2.7332250453646205,2.7261505800634125,2.6798180098311515,2.664853723592137,1.9732664304704914,1.9687630368036393,2.333910534871921,2.325515675890195,1.973387877951902,1.9585966223556184,0.6245914406447698,0.6464037093942682,1.102433700446891,1.0870712153966449,7.485603253889524,7.728287885716659,3.6434409781607706,3.269285970489861,5.781287807829281,5.421574314872918,5.677449081707806,5.6705250851662745,3.6568644915489172,3.6445370577784075,1.5185139398778875,1.4471580313422192,7.294738814702691,7.294669547422984
